PLNA,PLCO,AUTHOR,VALID,PLCOS
"LANTANA CHAMISSONIS","533012016","(D.DIETR.)BRIQ. Z","S","533012016"
"LANTANA LILACINA","533012017","DESF.","S","533012017"
"LANTANA MISTA","533012018","L.","S","533012018"
"LANTANA BRASILIENSIS","533012019","LINK","S","533012019"
"LIPPIA MICROMERA","533013001","","","533013001"
"LIPPIA ALBA","533013002","(MILL.) N. E. BR.","N","533013002"
"LIPPIA MICROMERA VAR. HELLERI","533013003","(BRITT.) MOLD.","Y","533013003"
"LIPPIA STOECHADIFOLIA","533013004","(L.)H.B.K.","Y","533013004"
"LIPPIA DULCIS","533013005","TREV.","Y","533013005"
"LIPPIA NODIFLORA","533013006","(L.)MICHX.","L","533013006"
"LIPPIA REPTANS","533013007","","P","533013007"
"LIPPIA LUCENS","533013008","","P","533013008"
"LIPPIA ARISTATA","533013009","SCHAU.","S","533013009"
"LIPPIA LUPULINA","533013010","CHAM.","S","533013010"
"LIPPIA MARTIANA","533013011","SCHAU.","S","533013011"
"LIPPIA MICROPHYLLA","533013012","CHAM.","S","533013012"
"LIPPIA ORIGANOIDES","533013013","HBK.","S","533013013"
"LIPPIA OXYCNEMIS","533013014","SCHAU.","S","533013014"
"LIPPIA ROTUNDIFOLIA","533013015","CHAM.","S","533013015"
"LIPPIA SALVIAEFOLIA","533013016","CHAM.","S","533013016"
"LIPPIA SERICEA","533013017","CHAM.","S","533013017"
"LIPPIA URTICOIDES","533013018","STEUD.","S","533013018"
"BOUCHEA PRISMATICA","533016001","(L.) KTZE.","N","533016001"
"BOUCHEA LAETEVIRENS","533016002","SCHAU.","S","533016002"
"BOUCHEA PSEUDOGERVAO","533016003","CHAM.","S","533016003"
"STACHYTARPHETA INDICA","533019001","","","533019001"
"STACHYTARPHETA CAYENNENSIS","533019002","(L. C. RICH.) VAHL.","","533019002"
"STACHYTARPHETA JAMAICENSIS","533019003","(L.) VAHL.","N","533019003"
"STACHYTARPHETA MUTABILIS","533019004","(JACQ.) VAHL.","N","533019004"
"STACHYTARPHETA DICHOTOMA VAHL","533019005","00001220","Y","533019005"
"STACHYTARPHETA FRANTZII","533019006","","P","533019006"
"STACHYTARPHETA ANGUSTIFOLIA","533019007","","","533019007"
"STACHYTARPHETA RETICULATA","533019008","MART.EX.SCHAU.","S","533019008"
"PRIVA LAPPULACEA","533021001","(L.)PERS.","Y","533021001"
"PRIVA DOMINGENSIS","533021002","URB.","Y","533021002"
"CASSELIA CHAMAEDRYFOLIA","533025001","CHAM.","S","533025001"
"PETRAEA VOLUBILIS","533026001","L.","Y","533026001"
"PETREA SUBSERRATA","533026002","CHAM.","S","533026002"
"CITHAREXYLUM CINEREUM","533029001","L.","","533029001"
"CITHAREXYLUM CAUDATUM","533029002","L.","N","533029002"
"CITHAREXYLUM FRUTICOSUM","533029003","L.","L","533029003"
"CITHAREXYLUM HIRTELLUM","533029004","","P","533029004"
"CITHAREXYLUM LAETUM","533029005","HIERN","S","533029005"
"DURANTA REPENS","533030001","L.","N","533030001"
"CALLICARPA ALBIDA","533045001","","","533045001"
"CALLICARPA SORDIDA","533045002","URB.","N","533045002"
"AEGIPHILA ELATA","533046001","SW.","N","533046001"
"AEGIPHILA MARTINICENSIS","533046002","JACQ.","Y","533046002"
"AEGIPHILA ODONTOPHYLLA","533046003","DONN.SM.","","533046003"
"AEGIPHILA ARBORESCENS","533046004","VAHL","S","533046004"
"AEGIPHILA LHOTSKIANA","533046005","CHAM.","S","533046005"
"AEGIPHILA VITELLINIFLORA","533046006","KLOTZSCH EX.WALP.","S","533046006"
"PETITIA DOMINGENSIS","533048001","JACQ.","Y","533048001"
"TECTONA GRANDIS","533049001","L. F.","N","533049001"
"CORNUTIA PYRAMIDATA","533051001","L.","N","533051001"
"CORNUTIA GRANDIFLORA","533051002","","P","533051002"
"PREMNA OBTUSIFOLIA","533053001","","","533053001"
"PREMNA ODORATA","533053002","","","533053002"
"VITEX DONIANA","533054001","","","533054001"
"VITEX NEGUNDO","533054002","","","533054002"
"VITEX AGNUS-CASTUS","533054003","L.","N","533054003"
"VITEX HEPTAPHYLLA","533054004","A.L.JUSS.","N","533054004"
"VITEX COOPERI","533054005","","P","533054005"
"VITEX GIGANTEA","533054006","","P","533054006"
"VITEX POLYGAMA","533054007","CHAM.","S","533054007"
"GMELINA ARBOREA","533056001","ROXB.","","533056001"
"CLERODENDRUM INERME","533059001","","","533059001"
"CLERODENDRUM INDICUM","533059002","","","533059002"
"CLERODENDRUM PHILIPPINUM","533059003","SCHAUER","N","533059003"
"CLERODENDRUM SPINOSUM","533059004","(L.) SPRENG.","N","533059004"
"CLERODENDRUM ACULEATUM","533059005","(L.)SCHLECHT.","Y","533059005"
"CLERODENDRUM FALLAX","533059006","","P","533059006"
"CLERODENDRUM LIGUSTRINUM","533059007","","P","533059007"
"CLERODENDRUM THOMSONIAE","533059008","","P","533059008"
"HOLMSKIOLDIA SANGUINEA","533060001","","P","533060001"
"CONGEA TOMENTOSA","533072001","ROXB.","Y","533072001"
"AVICENNIA GERMINANS","533073001","(L.) L.","","533073001"
"AVICENNIA NITIDA","533073002","JACQ.","L","533073002"
"GUAPIRA BREVIPETIOLATA","533075001","(HEIM.) ALAIN","N","533075001"
"GUAPIRA FRAGRANS","533075002","(DUM-COURS.) LITTLE","N","533075002"
"PHYLA NODIFLORA","533078001","(L.) GREENE","","533078001"
"PHYLA SCABERRINA","533078002","(A. L. JUSS.) MOLD.","N","533078002"
"PHYLLA STOECHADIFOLIA","533078003","(L.) SMALL","N","533078003"
"REHDERA MOLLICELLA","533079001","","P","533079001"
"CLERODENDRUM SPLENDENS","533095006","G.DON.","Y","533095006"
"LAMIACEAE","538000000","","","538000000"
"TEUCRIUM VERSICARIUM","538003001","","P","538003001"
"ROSMARINUS OFFICINALIS","538010001","","","538010001"
"SCUTELLARIA RACEMOSA","538025001","","","538025001"
"SCUTELLARIA PURPURASCENS","538025002","SWARTZ","H","538025002"
"LAVANDULA SP.","538026000","","P","538026000"
"LAVANDULA ANGUSTIFOLIA","538026001","","","538026001"
"LAVANDULA LATIFOLIA","538026002","","","538026002"
"LAVANDULA STOECHAS","538026003","","","538026003"
"MARRUBIUM VULGARE","538029001","","","538029001"
"SIDERITIS MONTANA","538030001","","","538030001"
"NEPETA CATARIA","538038001","","","538038001"
"GLECHOMA SP.","538040000","","","538040000"
"DRACOCEPHALUM PARVIFLORUM","538041001","","","538041001"
"LALLEMANTIA IBERICA","538042001","","","538042001"
"LALLEMANTIA ROYLEANA","538042002","BENTH.","Y","538042002"
"LEONOTIS NEPETAEFOLIA","538055001","(L.) AIT.","","538055001"
"LEONOTIS NEPETAEFOLIA","538055002","R.BR.","S","538055002"
"LEUCAS SP.","538059000","","Y","538059000"
"LEUCAS ASPERA","538059001","","","538059001"
"LEUCAS MARTINICENSIS","538059002","(JACQ.) R. BR.","Y","538059002"
"LEUCAS CAPITATA","538059003","DESF.","Y","538059003"
"GALEOPSIS TETRAHIT","538061001","","","538061001"
"GALEOPSIS LADANUM","538061002","","","538061002"
"GALEOPSIS VERSICOLOR","538061003","CURT.","Y","538061003"
"LAMIUM PURPUREUM","538062001","","","538062001"
"LAMIUM AMPLEXICAULE","538062002","","","538062002"
"LAMIUM ALBUM","538062003","L.","Y","538062003"
"LEONURUS SIBIRICUS","538064001","L.","","538064001"
"MOLUCELLA LAEVIS","538068001","","","538068001"
"STACHYS AFFINIS","538072001","","","538072001"
"STACHYS ANNUA","538072002","","","538072002"
"STACHYS ARVENSIS","538072003","","","538072003"
"SALVIA SP.","538081000","","P","538081000"
"SALVIA HISPANICA","538081001","","","538081001"
"SALVIA OFFICINALIS","538081002","","","538081002"
"SALVIA SCLAREA","538081003","","","538081003"
"SALVIA COCCINEA","538081004","JUSS.","","538081004"
"SALVIA FANINACEA","538081005","","","538081005"
"SALVIA REFLEXA","538081006","","","538081006"
"SALVIA VERBENACA","538081007","","","538081007"
"SALVIA CINNABARINA","538081008","","","538081008"
"SALVIA MICRANTHA","538081009","VAHL","N","538081009"
"SALVIA UNCINATA","538081010","URB.","N","538081010"
"SALVIA DENSIFLORA","538081011","BENTH.","N","538081011"
"SALVIA PRAETERITA","538081012","EPL.","N","538081012"
"SALVIA OCCIDENTALIS","538081013","SW.","Y","538081013"
"SALVIA SPLENDENS","538081014","SELLOW","Y","538081014"
"SALVIA COMPACTA","538081015","","P","538081015"
"SALVIA KELLERMANNII","538081016","","P","538081016"
"SALVIA LAVANDULOIDES","538081017","","P","538081017"
"SALVIA MISELLA","538081018","","P","538081018"
"SALVIA POLYSTACHYA","538081019","","P","538081019"
"SALVIA PURPUREA","538081020","","P","538081020"
"SALVIA ALVAJACA","538081021","OERSTED","H","538081021"
"SALVIA HYPTOIDES","538081022","MART.&GAL.","H","538081022"
"SALVIA MEMBRANACEA","538081023","BENTH.","H","538081023"
"SALVIA PTEROURA","538081024","BRIQ.","H","538081024"
"SALVIA WAGNERIANA","538081025","POLAK.","H","538081025"
"SALVIA APIANA","538081026","","","538081026"
"SALVIA SECUNDA","538081027","BENTH.","S","538081027"
"SALVIA TOMENTELLA","538081028","POHL","S","538081028"
"SALVIA VELUTINA","538081029","BENTH.","S","538081029"
"SALVIA SCABRIDA","538081030","POHL","S","538081030"
"MONARDA SP.","538087000","","P","538087000"
"MONARDA FISTULOSA","538087001","","","538087001"
"LEPECHINIA URBANII","538091001","(BRIQ.) EPL.","N","538091001"
"LEPECHINIA SCHIEDEANA","538091002","(SCHLECHT.)VATKE","H","538091002"
"KEITHIA DENUDATA","538093001","BENTH.","S","538093001"
"MELISSA OFFICINALIS","538095001","","","538095001"
"MICROMERIA BROWNEI","538096001","","P","538096001"
"SATUREJA HORTENSIS","538096001","","","538096001"
"SATUREJA MONTANA","538096002","","","538096002"
"SATUREJA VIMINEA","538096003","L.","N","538096003"
"SATUREJA ALPESTRIS","538096004","(URB.) JIMENEZ","N","538096004"
"HYSSOPUS OFFICINALIS","538104001","","","538104001"
"MAJORANA HORTENSIS","538105001","","","538105001"
"MAJORANA ONITES","538105002","","","538105002"
"ORIGANUM VULGARE","538106001","","","538106001"
"THYMUS SERPYLLUM","538110001","","","538110001"
"THYMUS VULGARIS","538110002","","","538110002"
"CUNILA POLYANTHA","538114001","BENTH.","H","538114001"
"LYCOPUS EUROPAEUS","538117001","","W","538117001"
"MENTHA ARVENSIS","538119001","","","538119001"
"MENTHA X GENTILIS","538119002","","","538119002"
"MENTHA X PIPERITA","538119003","","","538119003"
"MENTHA PULEGIUM","538119004","","","538119004"
"MENTHA ROTUNDIFOLIA","538119005","","","538119005"
"MENTHA SPICATA","538119006","","","538119006"
"MENTHA CITRATA","538119007","EHRB.","N","538119007"
"MENTHA NEMOROSA","538119008","WILLD.","Y","538119008"
"MENTHA AQUATICA","538119009","L.","S","538119009"
"MENTHA VIRIDIS","538119010","L.","S","538119010"
"PERILLA FRUTESCENS","538123001","","","538123001"
"ELSHOLTZIA CILIATA","538125001","","","538125001"
"POGOSTEMON CABLIN","538128001","","","538128001"
"ERIOPE COMPLICATA","538132001","MART.EX.BENTH.","S","538132001"
"ERIOPE CRASSIPES","538132002","BENTH.","S","538132002"
"ERIOPE MACROSTACHYA","538132003","MART.EX.BENTH.","S","538132003"
"HYPTIS SP.","538133000","","S","538133000"
"HYPTIS SPICIGERA","538133001","","","538133001"
"HYPTIS BREVIPES","538133002","","","538133002"
"HYPTIS LANTANAEFOLIA","538133004","POIT.","N","538133004"
"HYPTIS SUAVEOLENS","538133005","(L.) POIT.","N","538133005"
"HYPTIS VERTICILLATA","538133006","JACQ.","N","538133006"
"HYPTIS DOMINGENSIS","538133007","URB.","N","538133007"
"HYPTIS PECTINATA","538133008","(L.) POIT.","N","538133008"
"HYPTIS AMERICANA","538133009","(POIR.) BRIQ.","N","538133009"
"HYPTIS ATRORUBENS","538133010","POIT.","Y","538133010"
"HYPTIS CONFERTA","538133011","","P","538133011"
"HYPTIS RECURVATA","538133012","POIT.","H","538133012"
"HYPTIS OBTUSIFLORA","538133013","PRESL.EX.BENTH.","H","538133013"
"HYPTIS MUTABILIS","538133014","(A.RICH.)BRIQ.","H","538133014"
"HYPTIS CARPINIFOLIA","538133015","BENTH.","S","538133015"
"HYPTIS CLAVELLIFERA","538133016","BENTH.","S","538133016"
"HYPTIS COCCINEA","538133017","MART.EX.BENTH.","S","538133017"
"HYPTIS COMMUNIS","538133018","A.ST.HIL.EX.BENTH.","S","538133018"
"HYPTIS COMPLICATA","538133019","A.ST.HIL.EX.BENTH.","S","538133019"
"HYPTIS CRINITA","538133020","BENTH.","S","538133020"
"HYPTIS GLOMERATA","538133021","MART.EX.SCHRANK","S","538133021"
"HYPTIS HOMALOPHYLLA","538133022","POHL,EX.BENTH.","S","538133022"
"HYPTIS LAPPULLACEA","538133023","MART.EX.BENTH.","S","538133023"
"HYPTIS LAXIFLORA","538133024","MART.EX.BENTH.","S","538133024"
"HYPTIS LINARIOIDES","538133025","POHL,EX.BENTH.","S","538133025"
"HYPTIS LONGIPES","538133026","A.ST.HIL.EX.BENTH.","S","538133026"
"HYPTIS LUTESCENS","538133027","POHL,EX.BENTH.","S","538133027"
"HYPTIS MOLLISSIMA","538133028","BENTH.","S","538133028"
"HYPTIS NUDICAULIS","538133029","BENTH.","S","538133029"
"HYPTIS PALUDOSA","538133030","A.ST.HIL.EX.BENTH.","S","538133030"
"HYPTIS RUBICUNDA","538133031","POHL,EX.BENTH.","S","538133031"
"HYPTIS SINUATA","538133032","POHL,EX.BENTH.","S","538133032"
"HYPTIS SPICATA","538133033","POIT.","S","538133033"
"HYPTIS UMBROSA","538133034","SALZM.EX.BENTH.","S","538133034"
"HYPTIS VESTITA","538133035","BENTH.","S","538133035"
"HYPTIS VISCIDULA","538133036","BENTH.","S","538133036"
"HYPTIS VITIFOLIA","538133037","POHL,EX.BENTH.","S","538133037"
"HYPTIS CANA","538133038","POHL,EX.BENTH.","S","538133038"
"MARSYPIANTHUS SP.","538134000","","","538134000"
"MARSYPIANTHES CHAMAEDRYS","538134001","","","538134001"
"MARSYPYANTHES HYPTOIDES","538134002","MART.EX.BENTH.","S","538134002"
"PLECTRANTHUS ESCULENTUS","538141001","","","538141001"
"PLECTRANTHUS AMBOINICUS","538141002","(LOUR.) LAUNERT","Y","538141002"
"PLECTRANTHUS BLUMEI","538141003","(BENTH.)LAUNERT","L","538141003"
"SOLENOSTEMON ROTUNDIFOLIUS","538145001","","","538145001"
"SOLENOSTEMON OCYNIOIDES","538145002","","","538145002"
"COLEUS AMBOINICUS","538146001","","","538146001"
"COLEUS PARVIFLORUS","538146002","","","538146002"
"COLEUS BLUMEI","538146003","","P","538146003"
"OCIMUM SP.","538157000","","S","538157000"
"OCIMUM BASILICUM","538157001","","","538157001"
"OCIMUM KILIMANDSCHARICUM","538157002","","","538157002"
"OCIMUM SANCTUM","538157003","L.","","538157003"
"OCIMUM GRATISSIMUM","538157004","L.","","538157004"
"OCIMUM CANUM","538157005","","","538157005"
"OCIMUM MICRANTHUM","538157006","WILLD.","Y","538157006"
"OCIMUM LEONOTIS","538157007","U","S","538157007"
"OCIMUM NEPETAEFOLIA","538157008","U","S","538157008"
"CLINOPODIUM COFINE","538165001","","","538165001"
"PRUNELLA VULGARIS","538165001","L.","","538165001"
"SOLANACEAE","540000000","","","540000000"
"NICANDRA PHYSALODES","540001001","","","540001001"
"LYCIUM CHINENSE","540003001","","","540003001"
"LYCIUM TWEEDIANUM","540003002","GRISEB","N","540003002"
"LYCIUM FEROCISSIMUM","540003003","MIERS","Y","540003003"
"DUNALIA ARBORESCENS","540004001","(L.)SLEUMER","L","540004001"
"ATROPA BELLA-DONNA","540014001","","","540014001"
"HYOSCYAMUS NIGER","540020001","","","540020001"
"PHYSALIS SP.","540025000","","","540025000"
"PHYSALIS IXOCARPA","540025001","","","540025001"
"PHYSALIS PERUVIANA","540025002","","","540025002"
"PHYSALIS ANGULATA","540025003","L.","","540025003"
"PHYSALIS ESCULENTA","540025004","SALISB.","Y","540025004"
"PHYSALIS GREENEI","540025005","","","540025005"
"PHYSALIS MINIMA","540025006","","","540025006"
"PHYSALIS VISCOSA","540025007","","","540025007"
"PHYSALIS TURBINATA","540025008","MEDIC.","N","540025008"
"PHYSALIS PUBESCENS","540025009","L.","N","540025009"
"PHYSALIS CORDATA","540025010","MILL.","Y","540025010"
"PHYSALIS MICROCARPA","540025011","URB. & EKM.","Y","540025011"
"PHYSALIS PHILADELPHICA","540025012","LAM.","Y","540025012"
"PHYSALIS AEQUATA","540025013","","P","540025013"
"PHYSALIS LAGASCEA","540025014","","P","540025014"
"PHYSALIS NICANDROIDES","540025015","","P","540025015"
"PHYSALIS ALKEKENGI","540025016","","W","540025016"
"CAPSICUM SP.","540028000","","Y","540028000"
"CAPSICUM ANNUUM VAR ANNUUM","540028001","L.","","540028001"
"CAPSICUM BACCATUM VAR PENDULUM","540028002","","","540028002"
"CAPSICUM CHINENSE","540028003","","","540028003"
"CAPSICUM FRUTESCENS","540028004","L.","","540028004"
"CAPSICUM PUBESCENS","540028005","","","540028005"
"CAPSICUM ABYSSINICUM","540028006","","","540028006"
"CAPSICUM FRUTESCENS VAR. BACCATUM","540028007","(L.) IRISH.","N","540028007"
"CAPSICUM ANNUUM","540028008","L.","Y","540028008"
"CAPSICUM BACCATUM","540028009","L.","Y","540028009"
"CAPSICUM COSTARICENSE","540028010","","P","540028010"
"CAPSICUM CAMPYLOPODIUM","540028011","SENDT.","S","540028011"
"CAPSICUM CORDIFORME","540028012","U","S","540028012"
"CAPSICUM GROSSUM","540028013","L.","S","540028013"
"CAPSICUM MICROCARPUM","540028014","U","S","540028014"
"BASSOVIA FASCICULATA","540030001","DUN.","S","540030001"
"BASSOVIA VELUTINA","540030002","DUN.","S","540030002"
"SOLANUM SP.","540031000","","","540031000"
"LYCIANTHES LENTA","540031001","","P","540031001"
"SOLANUM AETHIOPICUM","540031001","","","540031001"
"LYCIANTHES LIMENSIS","540031002","","P","540031002"
"SOLANUM AVICULARE","540031002","","","540031002"
"LYCIANTHES MULTIFLORA","540031003","","P","540031003"
"SOLANUM FEROX","540031003","","","540031003"
"SOLANUM GILO","540031004","","","540031004"
"SOLANUM HYPORHODIUM","540031005","","","540031005"
"SOLANUM INCANUM","540031006","","","540031006"
"SOLANUM INDICUM","540031007","","","540031007"
"SOLANUM KHASIANUM","540031008","","","540031008"
"SOLANUM LACINIATUM","540031009","","","540031009"
"SOLANUM MACROCARPON","540031010","","","540031010"
"SOLANUM MELONGENA","540031011","L.","Y","540031011"
"SOLANUM MURICATUM","540031012","","","540031012"
"SOLANUM NIGRUM","540031013","","","540031013"
"SOLANUM QUITOENSE","540031014","","","540031014"
"SOLANUM TORVUM","540031015","SW.","","540031015"
"SOLANUM TUBEROSUM","540031016","L.","","540031016"
"SOLANUM ERIANTHUM","540031017","D. DON","N","540031017"
"SOLANUM DULCAMARA","540031018","","","540031018"
"SOLANUM ELAEAGNIFOLIUM","540031019","","","540031019"
"SOLANUM GLAUCUM","540031020","DUNN.","Y","540031020"
"SOLANUM NODIFLORA","540031021","","","540031021"
"SOLANUM ROSTRATUM","540031022","","","540031022"
"SOLANUM SISYMBRIIFOLIUM","540031023","","","540031023"
"SOLANUM XANTHOCARPUM","540031024","","","540031024"
"SOLANUM SEAFORTHIANUM","540031025","ANDR.","","540031025"
"SOLANUM VILLOSUM","540031026","MOENCH","Y","540031026"
"SOLANUM CILIATUM","540031027","LAM.","","540031027"
"SOLANUM AMERICANUM VAR. NODIFLORUM","540031029","(JACQ.) EDM.","N","540031029"
"SOLANUM UMBELLATUM","540031030","MILL.","N","540031030"
"SOLANUM JAMAICENSE","540031031","MILL.","N","540031031"
"SOLANUM AQUARTIA","540031032","","N","540031032"
"SOLANUM MICROPHYLLUM","540031033","(LAM.) D. DON","N","540031033"
"SOLANUM POLYACANTHUM","540031034","LAM.","Y","540031034"
"SOLANUM RUGOSUM","540031035","DUNAL","Y","540031035"
"SOLANUM DUBIUM","540031036","FRESEN.","Y","540031036"
"SOLANUM PERSICIFOLIUM","540031037","DUNAL","Y","540031037"
"SOLANUM WENDLANDII","540031038","HOOK.FIL.","Y","540031038"
"SOLANUM PANICULATUM","540031039","L.","Y","540031039"
"SOLANUM DOTANUM","540031040","MORTON&STANDLEY","","540031040"
"SOLANUM MAMMOSUM","540031041","L.","L","540031041"
"SOLANUM DIABOLI","540031042","","P","540031042"
"SOLANUM DIPHYLLUM","540031043","","P","540031043"
"SOLANUM HIRTUM","540031045","","P","540031045"
"SOLANUM HISPIDUM","540031046","","P","540031046"
"SOLANUM SCABRUM","540031047","","P","540031047"
"SOLANUM UNGUIS-CATI","540031048","","P","540031048"
"SOLANUM VERBASCIFOLIUM","540031049","","P","540031049"
"LYCIANTHES SYNANTHERA","540031050","","","540031050"
"SOLANUM ALTERNATOPINNATUM","540031050","STEUD.","S","540031050"
"SOLANUM ARGENTEUM","540031051","DUN.EX.POIR.","S","540031051"
"SOLANUM ATROPURPUREUM","540031052","SCHRANK","S","540031052"
"SOLANUM AURICULATUM","540031053","AIT.","S","540031053"
"SOLANUM CERNUUM","540031054","VELL.","S","540031054"
"SOLANUM CONVOLVULUS","540031055","SENDT.","S","540031055"
"SOLANUM DIDYMUM","540031056","DUN.","S","540031056"
"SOLANUM FULVUM","540031057","HIERN,EX.WARM","S","540031057"
"SOLANUM GNAPHALOCARPUM","540031058","VELL.","S","540031058"
"SOLANUM INTERMEDIUM","540031059","SENDT.","S","540031059"
"SOLANUM LYCOCARPUM","540031060","A.ST.HIL.","S","540031060"
"SOLANUM OOCARPUM","540031061","SENDT.","S","540031061"
"SOLANUM PLATANIFOLIUM","540031062","HOOK.","S","540031062"
"SOLANUM RUFESCENS","540031063","SENDT.","S","540031063"
"SOLANUM SUBLENTUM","540031064","HIERN","S","540031064"
"SOLANUM SUBUMBELLATUM","540031065","VELL.","S","540031065"
"SOLANUM TABACIFOLIUM","540031066","SALZM.EX.DUN.","S","540031066"
"SOLANUM VIOLIIFOLIUM","540031067","SCHOTT.","S","540031067"
"SOLANUM WARMINGII","540031068","HIERN","S","540031068"
"CYPHOMANDRA BETACEA","540032001","","","540032001"
"CYPHOMANDRA CALYCINA","540032002","SENDT.","S","540032002"
"MANDRAGORA OFFICINARUM","540037001","","","540037001"
"SOLANDRA BRACHYCALYX","540038001","KUNTZE","","540038001"
"DATURA SP.","540039000","","Y","540039000"
"DATURA FASTUOSA","540039001","H. & B.","","540039001"
"DATURA FEROX","540039002","","","540039002"
"DATURA METEL","540039003","","","540039003"
"DATURA METELOIDES","540039004","","","540039004"
"DATURA PLUMERI","540039005","","","540039005"
"DATURA STRAMONIUM","540039006","L.","","540039006"
"DATURA SUAVEOLENS","540039007","H & B.","N","540039007"
"DATURA INNOXIA","540039008","MILL","N","540039008"
"DATURA CANDIDA","540039009","(PERS.) SAFF.","","540039009"
"DATURA QUERCIFOLIA","540039010","","P","540039010"
"CESTRUM PARQUII","540044001","","","540044001"
"CESTRUM BREVIFOLIUM","540044002","URB.","N","540044002"
"CESTRUM DIURNUM","540044003","L.","N","540044003"
"CESTRUN DAPHNOIDES","540044004","GRISEB","N","540044004"
"CESTRUM COELOPHLEBIUM","540044005","O. E. SCHULZ","N","540044005"
"CESTRUM MACROPHYLLUM","540044006","VENT.","Y","540044006"
"CESTRUM NOCTURNUM","540044007","L.","Y","540044007"
"CESTRUM OACROPHYLLUM","540044008","VENT.","L","540044008"
"CESTRUM LATIFOLIUM","540044009","","P","540044009"
"CESTRUM SCANDENS","540044010","","P","540044010"
"CESTRUM CORIACEUM","540044011","MIERS","S","540044011"
"CESTRUM GARDNERI","540044012","SENDT.","S","540044012"
"CESTRUM LAEVIGATUM","540044013","SCHLECHT.","S","540044013"
"CESTRUM VELUTINUM","540044014","HIERN","S","540044014"
"CESTRUM VIRIDIFLORUM","540044015","HOOK.","S","540044015"
"CESTRUM CONGLOMERATUM","540044016","RUIZ.&PAV.","S","540044016"
"COELONEURUM FERRUGINEUM","540046001","(SPRENG.) URB.","Y","540046001"
"NICOTIANA TABACUM","540058001","L.","","540058001"
"NICOTIANA RUSTICA","540058002","","","540058002"
"NICOTIANA PLUMBAGINIFOLIA","540058003","","P","540058003"
"SCHWENCKIA AMERICANA","540069001","","","540069001"
"BROWALLIA AMERICANA","540071001","","P","540071001"
"BRUNFELSIA LATIFOLIA","540074001","","P","540074001"
"BRUNFELSIA HOPEANA","540074002","BENTH.","S","540074002"
"BRUNFELSIA RAMOSISSIMA","540074003","BENTH.","S","540074003"
"LYCOPERSICON SP.","540084000","","","540084000"
"LYCOPERSICON ESCULENTUM","540084001","MILL.","","540084001"
"LYCOPERSICON PIMPINELLIFOLIUM","540084002","","","540084002"
"LYCOPERSICON LYCOPERSICUM","540084003","(L.) HARST.","N","540084003"
"SCROPHULARIACEAE","542000000","","","542000000"
"VERBASCUM BLATTARIA","542001001","","","542001001"
"VERBASCUM THAPSUS","542001002","L.","","542001002"
"ANGELONIA ANGUSTIFOLIA","542011001","BENTH.","Y","542011001"
"LINARIA ELATINE","542021001","","","542021001"
"LINARIA SPURIA","542021002","","","542021002"
"LINARIA VULGARIS","542021003","","","542021003"
"LINARIA CANADENSIS","542021004","(L.) DUM.-COURS","","542021004"
"ANTIRRHINUM MAJUS","542023001","","","542023001"
"CHAENORRHINUM MINUS","542025001","(L.)LANGE","","542025001"
"SCROPHULARIA EGGERSII","542046001","URB.","N","542046001"
"SCROPHULARIA DESERTI","542046002","DEL.","Y","542046002"
"MIMULUS BIGELOVII","542065001","","","542065001"
"MAZUS MIQUELII","542066001","MAKINO","Y","542066001"
"STEMODIA MARITIMA","542075002","L.","N","542075002"
"STEMODIA HYPTOIDES","542075003","CHAM.&SCHLECHT.","S","542075003"
"STEMODIA PARVIFLORA","542075004","AIT.","S","542075004"
"BEYRICHIA OCYMOIDES","542080001","CHAM.&SCHLECHT.","S","542080001"
"DOPATRIUM JUNCEUM","542082001","","","542082001"
"GRATIOLA JAPONICA","542083001","","","542083001"
"HERPESTES SP.","542087000","","S","542087000"
"BACOPA CHAMAEDRYOIDES","542087001","","","542087001"
"HERPESTES RANARIA","542087001","BENTH.","S","542087001"
"BACOPA MONNIERI","542087002","(L.) PENNELL","N","542087002"
"HERPESTES SERPYLLOIDES","542087002","CHAM.&SCHLECHT.","S","542087002"
"BACOPA REPENS","542087003","(SW.) WETTST.","N","542087003"
"HERPESTES STRICTA","542087003","SCHRAD.","S","542087003"
"BACOPA INNOMINATA","542087004","(MAZA) ALAIN","N","542087004"
"HERPESTES TENELLA","542087004","CHAM.&SCHLECHT.","S","542087004"
"BACOPA STRICTA","542087005","(SCHRAD.)ROBINS.","Y","542087005"
"HERPESTES LANIGERA","542087005","CHAM.&SCHELCHT.","S","542087005"
"BACOPA PROCUMBENS","542087006","","P","542087006"
"BACOPA ERECTA","542087007","","","542087007"
"BACOPA CRENATA","542087008","","","542087008"
"LIMOSELLA AQUATICA","542099001","L.","N","542099001"
"LIMOSELLA AUSTRALIS","542099002","R.BR.","A","542099002"
"ACHIMENES LONGIFLORA","542100001","","P","542100001"
"TORENIA CONCOLOR","542102001","","P","542102001"
"TORENIA CRUSTACEA","542102002","","P","542102002"
"LINDERNIA PROCUMBENS","542103001","","","542103001"
"LINDERNIA PYXIDARIA","542103002","","","542103002"
"LINDERNIA CRUSTACEA","542103003","","","542103003"
"LINDERNIA ANTIPODA","542103004","","","542103004"
"LINDERNIA DIFFUSA","542103005","(L.) WETTST.","N","542103005"
"ILYSANTHES ROTUNDIFOLIA","542105001","","","542105001"
"SCOPARIA DULCIS","542117001","L.","","542117001"
"VERONICA SP.","542120000","","","542120000"
"VERONICA AGRESTIS","542120001","","","542120001"
